Tiempo_s,Error_Abs_h1_lin_cm,Error_Abs_h2_lin_cm
167.35000000000002,0.23123842181662113,0.07058315810743905
167.4,0.23097715295696403,0.07079355298406607
167.45000000000002,0.23071375468170993,0.07100580593795598
167.5,0.23044824998919888,0.07121988678123123
167.55,0.2301806618084816,0.07143576547193504
167.60000000000002,0.22991101299931932,0.07165341211403317
167.65,0.22963932635218542,0.07187279695741525
167.70000000000002,0.2293656245882618,0.07209389039789411
167.75,0.22908993035944125,0.07231666297720409
167.8,0.228812266248328,0.07254108538300302
167.85000000000002,0.2285326547682369,0.07276712844887095
167.9,0.22825111836319267,0.07299476315431111
167.95000000000002,0.22796767940796644,0.07322396062460837
168.0,0.22768236057908697,0.07345469070400741
168.05,0.22739518441026244,0.07368692369237005
168.10000000000002,0.22710617298641878,0.07392063150704307
168.15,0.22681534833136202,0.0741557861785723
168.20000000000002,0.22652273240777593,0.07439235985070465
168.25,0.22622834711722717,0.0746303247803868
168.3,0.22593221430015875,0.07486965333776581
168.35000000000002,0.2256343557358983,0.0751103180061892
168.4,0.22533479314264873,0.07535229138220349
168.45000000000002,0.22503354817749663,0.07559554617555773
168.5,0.2247306424364059,0.0758400552091993
168.55,0.22442609745422157,0.07608579141927703
168.60000000000002,0.22411993470466823,0.0763327278551388
168.65,0.22381217560035194,0.07658083767933324
168.70000000000002,0.22350284149275645,0.07683009416760977
168.75,0.22319195367224676,0.07708047070891684
168.8,0.2228795333680672,0.07733194080540504
168.85000000000002,0.22256560174834308,0.0775844780724233
168.9,0.22225017992007837,0.07783805623852169
168.95000000000002,0.22193328892915823,0.07809264914545033
169.0,0.2216149497603473,0.07834823074815943
169.05,0.22129518333728962,0.0786047751147996
169.10000000000002,0.22097401052250942,0.0788622564267219
169.15,0.2206514521174121,0.07912064897847744
169.20000000000002,0.22032752886228107,0.07937992717781776
169.25,0.22000226143628135,0.07964006554569379
169.3,0.21967567045745665,0.07990103871625825
169.35000000000002,0.21934777648273118,0.08016282143686257
169.4,0.21901860000791035,0.08042538856805857
169.45000000000002,0.21868816146767728,0.08068871508359991
169.5,0.21835648123559662,0.08095277607043823
169.55,0.21802357962411173,0.08121754672872766
169.60000000000002,0.2176894768845472,0.0814830023718207
169.65,0.21735419320710742,0.08174911842627093
169.70000000000002,0.2170177487208758,0.08201587043183203
169.75,0.2166801634938164,0.0822832340414581
169.8,0.21634145753277356,0.08255118502130329
169.85000000000002,0.21600165078347022,0.08281969925072186
169.9,0.21566076313051136,0.0830887527222688
169.95000000000002,0.2153188143973795,0.08335832154169887
170.0,0.2149758243464403,0.0836283819279672
170.05,0.2146318126789351,0.08389891021322905
170.10000000000002,0.2142867990349892,0.08416988284284006
170.15,0.2139408029936056,0.08444127637535631
170.20000000000002,0.21359384407266846,0.08471306748253325
170.25,0.21324594172894076,0.08498523294932815
170.3,0.21289711535806588,0.08525774967389696
170.35000000000002,0.21254738429456776,0.08553059466759674
170.4,0.21219676781184943,0.0858037450549843
170.45000000000002,0.21184528512219503,0.08607717807381718
170.5,0.21149295537676688,0.08635087107505234
170.55,0.21113979766560903,0.08662480152284817
170.60000000000002,0.21078583101764442,0.08689894699456281
170.65,0.21043107440067677,0.08717328518075378
170.70000000000002,0.2100755467213885,0.08744779388517969
170.75,0.2097192668253433,0.0877224510247996
170.8,0.2093622534969839,0.08799723462977263
170.85000000000002,0.20900452545963394,0.08827212284345728
170.9,0.20864610137549602,0.08854709392241318
170.95000000000002,0.20828699984565302,0.08882212623640036
171.0,0.20792723941006863,0.08909719826837859
171.05,0.2075668385475845,0.0893722886145077
171.10000000000002,0.20720581567592494,0.08964737598414797
171.15,0.20684418915169167,0.08992243919986043
171.20000000000002,0.20648197727036813,0.09019745719740652
171.25,0.20611919826631664,0.09047240902574534
171.3,0.20575587031278,0.09074727384704023
171.35000000000002,0.20539201152188108,0.09102203093665183
171.4,0.20502763994462264,0.09129665968314188
171.45000000000002,0.20466277357088747,0.0915711395882729
171.5,0.20429743032943717,0.09184545026700609
171.55,0.20393162808791493,0.09211957144750552
171.60000000000002,0.20356538465284324,0.09239348297113321
171.65,0.20319871776962423,0.09266716479245166
171.70000000000002,0.20283164512254065,0.09294059697922477
171.75,0.20246418408045794,0.09321376054284153
171.8,0.20209635168804488,0.09348663744198835
171.85000000000002,0.20172816561671858,0.0937592074622743
171.9,0.2013596439321464,0.09403144885704977
171.95000000000002,0.20099080420129362,0.09430334163175735
172.0,0.20062166379987978,0.09457486639082302
172.05,0.20025224004612713,0.09484600384337023
172.10000000000002,0.19988255020076673,0.095116734803221
172.15,0.19951261146703253,0.09538704018889552
